RA,DEC,l,b,Ks,J-Ks,v_helio_final,cat,feh
08:22:35.069,16:57:50.699,207.06,27.56,10.1,1.04,100.23,7.64,-0.67
08:40:52.109,17:00:07.637,208.9,31.63,10.5,0.99,-37.96,7.93,-0.51
08:25:16.774,31:06:39.055,191.74,32.61,10.4,0.98,-45.7,nan,nan
07:49:24.316,38:11:15.719,181.75,27.19,10.2,1.01,-33.27,8.33,-0.3
08:14:17.175,39:52:39.025,181.03,32.27,10.3,0.98,37.72,7.92,-0.51
08:27:04.396,19:52:58.114,204.4,29.62,10.8,0.98,-98.19,8.15,-0.4
08:26:57.981,21:25:59.487,202.72,30.13,10.1,1.05,-27.74,7.96,-0.5
08:27:35.892,46:05:20.722,173.96,35.45,10.8,0.99,122.33,7.9,-0.53
07:55:14.474,45:10:21.339,174.24,29.72,10.5,0.99,14.2,nan,nan
09:01:20.104,21:00:53.914,206.37,37.56,10.7,0.97,-33.91,8.05,-0.44
08:04:53.175,50:54:53.847,167.84,32.05,10.1,1.0,-48.5,nan,nan
07:18:48.413,57:37:29.205,159.28,26.22,10.3,1.01,-64.5,nan,nan
07:58:35.208,71:26:37.097,143.74,30.94,10.8,0.98,-54.5,nan,nan
07:59:57.788,67:21:15.233,148.48,31.45,10.3,0.98,-84.3,7.66,-0.65
08:23:01.736,63:36:55.907,152.61,34.22,10.4,1.04,-62.3,nan,nan
08:35:19.320,63:09:12.508,152.91,35.65,10.4,1.07,-80.5,nan,nan
08:37:16.838,61:24:38.650,154.98,36.17,10.1,1.11,-16.3,nan,nan
08:02:42.925,55:21:16.735,162.59,32.0,10.4,1.04,8.7,nan,nan
07:29:03.287,63:32:14.931,152.86,28.23,10.6,1.0,-14.2,nan,nan
07:01:29.762,65:26:34.302,150.33,25.53,10.2,1.03,-53.05,8.16,-0.38
07:03:17.681,62:10:19.597,153.93,25.13,10.0,0.98,-31.77,7.54,-0.71
08:08:19.003,46:06:53.789,173.55,32.12,10.1,1.05,9.3,nan,nan
08:19:09.002,66:35:06.844,149.14,33.4,10.4,1.01,-86.6,nan,nan
08:50:27.058,83:34:26.310,129.38,30.17,10.4,0.98,-161.56,8.48,-0.22
06:53:46.314,74:23:42.096,140.38,26.21,10.8,1.0,-73.98,7.46,-0.75
06:59:51.420,79:21:22.310,134.89,27.01,10.9,0.98,-171.77,6.98,-1.01
08:45:58.500,53:38:44.992,164.47,38.32,10.3,1.07,-54.32,7.39,-0.79
07:16:00.837,69:06:09.217,146.47,27.39,11.0,1.01,-45.19,8.56,-0.17
07:15:42.543,67:03:59.384,148.75,27.17,10.1,0.98,-19.7,nan,nan
06:56:33.832,71:31:34.103,143.57,26.03,10.0,1.01,-220.07,8.59,-0.16
08:18:28.676,24:35:03.724,198.55,29.32,10.2,1.02,71.31,7.67,-0.64
07:34:53.223,47:01:06.875,171.42,26.61,11.0,0.98,-19.3,8.5,-0.2
09:26:08.129,76:14:12.677,136.06,35.11,11.0,1.01,-63.33,7.78,-0.59
09:06:12.992,66:48:03.906,147.46,37.85,11.3,0.98,-7.87,8.11,-0.41
09:11:42.487,70:03:57.233,143.41,37.08,10.6,0.99,-33.01,7.45,-0.77
07:49:59.852,66:26:33.043,149.6,30.52,10.3,1.09,-65.1,nan,nan
08:55:51.839,61:47:33.222,153.95,38.26,11.0,1.02,-26.5,6.97,-1.01
08:17:34.609,49:28:18.893,169.73,33.98,10.2,0.97,8.34,7.58,-0.69
08:28:13.251,16:54:09.735,207.7,28.79,10.4,0.99,49.39,7.98,-0.48
08:33:42.249,43:06:22.243,177.74,36.3,10.6,1.0,15.13,7.8,-0.58
07:59:56.525,62:46:26.405,153.85,31.69,10.4,1.04,-82.4,nan,nan
07:01:45.303,68:40:26.404,146.79,26.06,10.5,0.99,-49.7,nan,nan
07:24:12.254,59:29:12.056,157.34,27.21,10.2,1.09,-7.0,nan,nan
07:29:55.636,57:16:14.062,159.93,27.65,10.3,0.97,-11.8,nan,nan
07:55:41.652,48:29:54.348,170.46,30.31,10.6,0.99,7.9,7.87,-0.54
08:49:13.885,65:01:35.053,150.24,36.73,10.1,0.99,-52.97,7.81,-0.58
08:49:36.694,71:38:03.626,142.44,34.82,10.1,1.03,-46.5,7.94,-0.51
08:49:41.649,68:02:28.969,146.62,35.95,10.2,1.03,-62.9,nan,nan
07:53:27.324,65:28:07.281,150.73,30.9,10.0,0.99,-27.0,nan,nan
08:54:29.650,68:49:42.966,145.53,36.13,10.1,1.01,-135.9,nan,nan
10:06:27.035,78:40:29.956,132.07,35.35,10.4,1.01,-168.4,7.22,-0.88
07:18:30.077,75:01:01.695,139.82,27.88,10.3,1.06,-58.5,nan,nan
07:25:52.871,73:40:51.867,141.34,28.36,10.8,0.97,-58.1,nan,nan
07:34:21.413,75:17:22.661,139.49,28.89,10.6,1.05,-113.1,nan,nan
