target,vsys_hel,vsys_gsr,evsys,phase,l,b,struct
GA-RR101,81.3,92.9,12.0,0.07,177.644613,30.927381,A13
GA-RR11,-235.7,-145.4,12.6,0.15,157.407318,21.907813,A13
GA-RR12,-114.3,-14.9,13.9,0.22,154.793046,22.608861,A13
GA-RR118,-158.7,-129.1,14.8,0.12,172.696122,32.682705,A13
GA-RR125,15.3,39.5,17.5,0.09,174.17533,33.055364,A13
GA-RR145,-258.0,-244.4,13.2,0.1,177.112634,34.906366,A13
GA-RR151,-28.8,20.2,14.2,0.15,166.878959,35.96988,A13
GA-RR153,-101.5,-61.0,12.4,0.16,169.366185,36.040676,A13
GA-RR163,27.5,72.4,12.8,0.12,167.984041,36.865069,A13
GA-RR176a,94.9,121.8,16.1,0.17,173.159645,38.160035,A13
GA-RR176b,105.9,132.8,13.4,0.21,173.159645,38.160035,A13
GA-RR182,-37.5,-6.3,12.5,0.12,171.835021,38.732743,A13
GA-RR194,-37.8,-32.0,13.8,0.09,179.410321,39.684383,A13
GA-RR199,-114.6,-69.1,14.6,0.46,167.358856,39.850973,A13
GA-RR202,110.7,160.3,15.6,0.1,166.108111,39.992165,A13
GA-RR203,71.3,136.7,13.5,0.2,161.235903,39.536062,A13
GA-RR206,-220.1,-155.7,12.8,0.17,161.476278,39.773019,A13
GA-RR29,-96.3,-27.0,13.3,0.12,162.701903,24.240501,A13
GA-RR32,-208.6,-126.7,12.5,0.07,159.211239,25.134341,A13
GA-RR35,-119.8,-93.4,12.3,0.15,173.834668,23.239125,A13
GA-RR35,-119.8,-93.4,12.3,0.15,173.834668,23.239125,A13
GA-RR43,-363.4,-274.8,15.3,0.28,156.919376,27.782539,A13
GA-RR44,-71.3,-23.9,14.0,0.08,168.293311,26.140148,A13
GA-RR46,-41.4,-4.7,13.2,0.09,171.115224,25.909022,A13
GA-RR56,1.2,4.0,14.0,0.15,179.826501,24.875012,A13
GA-RR7,96.2,182.5,13.8,0.15,158.586906,20.924718,A13
GA-RR65,-84.4,-29.9,17.0,0.17,166.216668,28.53958,A13
GA-RR60,-133.3,-75.1,13.5,0.07,165.255431,27.955015,A13
GA-RR73,-53.6,26.0,12.5,0.1,158.921316,30.584769,A13
GA-RR75,-24.9,18.6,23.1,0.19,169.053144,30.196305,A13
GA-RR82,-52.7,-6.4,13.3,0.1,168.222702,30.724379,A13
GA-RR83,13.8,72.3,12.0,0.16,164.839746,31.012332,A13
GA-RR86,84.9,116.4,13.5,0.16,172.288415,30.496601,A13
GA-RR87a,12.6,65.7,14.3,0.2,166.302566,31.223535,A13
GA-RR87b,26.2,79.3,14.7,0.23,166.302566,31.223535,A13
GA-RR9,-63.7,24.2,12.5,0.2,158.072145,21.5731,A13
GA-RR98,77.1,107.4,13.4,0.16,172.556417,31.341687,A13
GA-RR99,91.5,103.3,13.7,0.07,177.576579,30.761878,A13
