target,vsys_hel,vsys_gsr,evsys,phase,l,b,struct
GA-RR10,-141.7,-111.1,13.9,0.72,172.856076,16.732728,GASS
GA-RR100,254.8,172.5,14.3,0.13,202.001176,24.75022,GASS
GA-RR102,-162.1,-223.9,13.7,0.21,196.791705,26.546377,GASS
GA-RR108,-32.9,-73.1,14.5,0.52,191.325151,28.755251,GASS
GA-RR109,24.9,-141.3,12.8,0.14,224.476381,15.644097,GASS
GA-RR111,210.1,87.5,13.2,0.11,212.654276,21.713061,GASS
GA-RR112,-118.7,-166.7,13.2,0.14,193.413978,28.604193,GASS
GA-RR114,-54.2,-16.4,16.6,0.35,170.425727,32.634859,GASS
GA-RR115,-205.3,-237.6,13.1,0.1,189.359166,29.942891,GASS
GA-RR120,141.8,77.1,12.0,0.07,197.850003,27.845489,GASS
GA-RR122,-6.3,-3.5,14.4,0.13,180.035125,31.977572,GASS
GA-RR124,-136.3,-195.9,12.7,0.12,196.595473,28.674877,GASS
GA-RR126,249.8,144.9,13.2,0.09,208.376568,24.841534,GASS
GA-RR127,52.1,33.0,13.9,0.15,185.970236,31.603973,GASS
GA-RR128,267.0,123.1,12.8,0.2,218.866914,20.737926,GASS
GA-RR129,155.2,2.7,14.7,0.16,221.324888,19.7895,GASS
GA-RR13,46.7,57.2,13.4,0.1,177.674527,15.233643,GASS
GA-RR130,236.7,129.3,12.4,0.1,209.251205,25.302395,GASS
GA-RR131,-25.7,-72.4,12.9,0.11,193.399505,30.64731,GASS
GA-RR134,6.3,-95.4,13.0,0.16,207.958151,26.460018,GASS
GA-RR135,31.8,-2.2,13.0,0.13,190.061858,31.774065,GASS
GA-RR137,-79.1,-136.6,13.0,0.15,196.344679,30.342212,GASS
GA-RR138,185.9,34.3,13.4,0.09,221.45651,20.975263,GASS
GA-RR14,98.6,170.2,14.3,0.2,162.349082,21.804465,GASS
GA-RR142,265.3,163.6,13.3,0.36,208.144293,27.138712,GASS
GA-RR144,185.6,56.4,12.5,0.1,215.725545,24.827167,GASS
GA-RR146,89.5,31.7,14.6,0.14,196.66759,31.584298,GASS
GA-RR148,-102.9,-177.9,12.6,0.08,201.344549,30.529066,GASS
GA-RR149,-77.8,-133.6,13.4,0.1,196.25019,32.145038,GASS
GA-RR15,-132.3,-95.8,14.7,0.14,171.362831,19.043232,GASS
GA-RR154,-178.1,-207.3,14.2,0.26,189.096491,34.325954,GASS
GA-RR155,117.1,59.8,13.2,0.08,196.825565,32.8803,GASS
GA-RR157,-51.5,-143.6,12.5,0.09,206.389986,30.529493,GASS
GA-RR159,12.5,-51.3,13.1,0.24,198.78998,33.10952,GASS
GA-RR16,-79.2,-47.2,14.1,0.42,172.515773,18.813847,GASS
GA-RR160,46.6,-72.2,13.4,0.18,213.713295,28.228462,GASS
GA-RR160,36.1,-82.6,12.7,0.1,213.713295,28.228462,GASS
GA-RR161,261.2,158.4,12.7,0.11,209.39159,29.96925,GASS
GA-RR162,-310.9,-398.5,12.6,0.12,205.310497,31.425039,GASS
GA-RR174,191.9,45.6,13.5,0.11,222.001767,26.392253,GASS
GA-RR179,-63.1,-243.6,12.9,0.23,232.509647,21.932227,GASS
GA-RR180,157.2,13.1,13.5,0.11,221.880452,27.690001,GASS
GA-RR181,191.7,57.4,13.5,0.19,219.175246,29.062504,GASS
GA-RR184,214.4,111.3,13.1,0.22,210.584191,32.742003,GASS
GA-RR185,352.4,176.5,12.7,0.19,231.352854,23.249399,GASS
GA-RR187,192.4,101.8,12.3,0.2,207.160918,34.025976,GASS
GA-RR188,179.7,28.6,13.6,0.2,224.212984,27.360598,GASS
GA-RR189,-19.4,-190.1,13.7,0.08,229.964196,24.356655,GASS
GA-RR19,95.3,104.4,13.6,0.09,178.068737,17.692903,GASS
GA-RR191,-3.5,-97.3,13.3,0.25,208.181319,34.032569,GASS
GA-RR198,115.9,-37.0,14.8,0.15,225.417761,28.305461,GASS
GA-RR200,220.8,123.4,14.5,0.12,209.691768,34.949621,GASS
GA-RR205,-50.7,-174.2,14.0,0.19,217.504686,32.971262,GASS
GA-RR209,285.9,122.4,12.3,0.1,229.48003,28.168576,GASS
GA-RR21,-215.0,-106.4,12.5,0.07,151.692285,25.389615,GASS
GA-RR211,-2.2,-125.5,12.6,0.17,217.868517,33.733783,GASS
GA-RR220,63.8,-117.8,13.9,0.16,236.308354,26.778126,GASS
GA-RR226,330.2,169.6,13.4,0.07,230.930337,31.766771,GASS
GA-RR228,-19.2,-172.8,13.0,0.2,229.107678,33.204971,GASS
GA-RR229,-41.8,-218.0,13.8,0.13,236.061456,29.48899,GASS
GA-RR230,57.1,-104.6,12.0,0.09,231.977434,32.432818,GASS
GA-RR231,206.5,48.8,13.2,0.09,230.774352,33.084755,GASS
GA-RR232,122.1,-63.7,15.0,0.19,239.561898,28.120199,GASS
GA-RR238,198.6,39.1,13.6,0.12,232.277038,33.854948,GASS
GA-RR239,297.0,110.7,12.4,0.18,240.749815,28.986446,GASS
GA-RR24,123.0,108.0,12.3,0.12,183.911571,17.276812,GASS
GA-RR240,112.4,-65.8,12.7,0.17,238.227226,30.666753,GASS
GA-RR242,130.4,-31.2,12.2,0.08,233.291424,33.888543,GASS
GA-RR246,107.7,-80.9,15.8,0.11,243.317548,30.148338,GASS
GA-RR247,28.5,-145.4,13.3,0.13,238.836632,33.335991,GASS
GA-RR248,68.3,-128.8,14.8,0.21,246.30825,28.314702,GASS
GA-RR250,5.6,-176.4,11.9,0.13,241.698118,31.927086,GASS
GA-RR251,121.5,-59.7,13.7,0.16,242.334356,32.796355,GASS
GA-RR252,101.9,-103.4,13.3,0.11,250.297895,26.965607,GASS
GA-RR259,257.2,77.3,13.2,0.07,244.238033,34.735836,GASS
GA-RR269,246.8,53.7,13.8,0.23,254.323455,34.504674,GASS
GA-RR28,-114.3,-93.0,13.8,0.2,175.103423,20.933683,GASS
GA-RR2a,-99.8,-15.0,12.8,0.12,159.167775,19.186895,GASS
GA-RR2b,-100.6,-15.8,13.4,0.34,159.167775,19.186895,GASS
GA-RR30,100.7,130.5,13.0,0.18,172.99897,21.669932,GASS
GA-RR36,-52.1,-100.4,12.5,0.14,192.049505,17.317728,GASS
GA-RR37a,-334.4,-321.5,13.1,0.12,177.203804,22.497565,GASS
GA-RR37b,-305.4,-292.4,16.7,0.39,177.203804,22.497565,GASS
GA-RR38,106.8,72.0,12.7,0.21,188.852996,19.162759,GASS
GA-RR4,-152.9,-80.6,13.1,0.15,162.428913,18.755372,GASS
GA-RR40,78.4,65.6,13.2,0.31,183.594805,21.757605,GASS
GA-RR41,115.9,143.9,13.1,0.12,173.388718,24.735567,GASS
GA-RR42,98.7,44.9,12.6,0.09,193.5242,18.577142,GASS
GA-RR49,241.6,185.0,12.7,0.1,194.326989,19.298687,GASS
GA-RR5,77.7,145.6,14.3,0.09,163.564589,18.549745,GASS
GA-RR50,288.3,251.3,12.9,0.13,189.579697,21.060118,GASS
