name,Vsys,Err,v_ally,verr_ally,ra,dec,dist
TriAndRRL1,-130.85487474138452,18.910268086849097,-159.0,22.0,35.804598,31.551122,32.08
TriAndRRl10,-293.2393952686294,20.290690174660256,-287.0,18.0,16.841753,32.235145,16.14
TriAndRRl11,-110.21222346621133,15.047109038479922,-133.0,22.0,9.262168,38.824378,16.8
TriAndRRl12,-7.622035501769265,18.97776114397998,-25.0,22.0,12.887871,34.28071,21.25
TriAndRRl15,-62.70110044420859,19.416283601942077,-88.0,16.0,8.828356,36.304111,16.79
TriAndRRl16,-191.91409384280064,18.2603504887519,-194.0,25.0,10.495088,33.834552,16.32
TriAndRRl2,-223.04871707478003,16.476122497928984,-245.0,19.0,30.59351,33.377335,18.75
TriAndRRl20,-110.24892867804371,16.35661959775641,-129.0,25.0,5.576572,36.203326,16.15
TriAndRRl21,-242.96579819932728,16.63140990128772,-269.0,16.0,352.155077,33.73084,22.56
TriAndRRl23,-59.41835657984708,15.726415435825837,-84.0,23.0,352.977933,34.21691,19.68
TriAndRRl24,-303.27771404734347,19.334464121414793,-305.0,25.0,353.000072,33.44693,15.71
TriAndRRl26,-193.88573572816819,19.237495987409744,-199.0,20.0,351.509509,30.571749,22.07
TriAndRRl27,-214.18498593649738,18.096799949460543,-231.0,18.0,355.466314,33.808053,21.17
TriAndRRl30,-188.04085683291544,14.870965634886057,-228.0,25.0,1.605007,34.567764,34.04
TriAndRRl31,-304.0424444147709,17.031538022552102,-318.0,24.0,354.620544,30.140181,25.07
TriAndRRl32,-165.41084709322047,17.62326074451958,-176.0,25.0,356.154789,30.168917,21.57
TriAndRRl33,-52.06527512875746,16.723852802894605,-89.0,20.0,1.014094,32.019259,19.71
TriAndRRl5,-212.661111197825,17.992964178273137,-212.0,20.0,22.322702,32.72186,20.67
TriAndRRl8,-104.03853233446037,15.28064781440207,-128.0,19.0,17.992175,35.466819,21.18
TriAndRRl9,-152.12563066664936,18.27178895174345,-157.0,18.0,11.491072,40.199252,18.48
