ID,l,b,Ks,J-Ks,vhel,verr,S/N,EW1,EW2,UT,INST,dwarf_giant,class
0000066+395650,112.36,-21.86,11.7,0.89,-48.3,4.2,20,4.8,5.3,2011-Nov-16,Goldcam,D,field
0004564+402930,113.45,-21.52,12.4,0.91,-33.3,2.3,12,3.6,3.9,2011-Nov-18,Goldcam,D,field
0006169+365203,112.97,-25.13,12.4,0.91,-49.1,3.7,31,3.1,3.6,2013-Oct-19,Modspec,D,field
0008452+235019,110.52,-38.0,11.6,0.92,-177.5,5.3,29,0.4,0.4,2011-Nov-11,Modspec,G,TriAnd1
0010008+395243,114.36,-22.3,11.5,0.97,-128.0,5.1,27,0.5,0.8,2011-Nov-11,Modspec,G,TriAnd2
0011284+293542,112.63,-32.48,11.3,0.92,-299.6,3.7,29,0.9,1.2,2013-Oct-19,Modspec,G,field
0011329+412258,114.94,-20.87,12.4,0.91,-3.5,5.2,22,2.1,2.4,2011-Nov-11,Modspec,D,field
0014415+371817,114.88,-24.99,10.9,0.99,-138.4,2.8,25,1.4,1.4,2012-Oct-29,Modspec,G,TriAnd1
0015168+465156,116.53,-15.56,11.1,0.93,-160.9,3.4,36,1.0,1.2,2013-Oct-20,Modspec,G,TriAnd1
0016023+450240,116.39,-17.37,11.9,0.87,-53.8,14.5,20,2.4,2.6,2011-Nov-16,Goldcam,D,field
0017402+462638,116.89,-16.03,11.3,0.94,-165.9,5.5,30,1.3,1.3,2011-Nov-18,Goldcam,G,TriAnd1
0017434+235119,113.09,-38.37,12.1,0.92,-33.8,6.3,16,4.4,4.8,2011-Nov-19,Goldcam,D,field
0018381+235402,113.36,-38.36,12.2,0.91,-52.7,4.1,13,2.1,3.6,2011-Nov-19,Goldcam,D,field
0019276+421235,116.63,-20.27,11.7,0.92,-250.9,3.4,44,1.0,1.2,2013-Oct-20,Modspec,G,field
0020518+162645,112.39,-45.8,10.9,0.98,-179.9,3.6,40,0.8,1.2,2013-Oct-20,Modspec,G,field
0021538+455316,117.57,-16.68,11.5,0.95,-18.0,3.9,41,0.9,1.1,2013-Oct-19,Modspec,G,field
0022124+400956,116.89,-22.36,11.9,0.86,-26.0,1.2,16,3.0,3.7,2011-Nov-16,Goldcam,D,field
0022430+422802,117.3,-20.09,12.0,0.9,-149.7,5.3,30,0.6,0.8,2011-Nov-11,Modspec,G,TriAnd2
0028312+401724,118.2,-22.37,11.3,0.94,-132.0,8.2,27,0.6,0.8,2011-Nov-19,Goldcam,G,TriAnd1
0033083+234632,117.55,-38.9,12.0,0.86,-19.3,2.4,21,2.4,2.6,2011-Nov-17,Goldcam,D,field
0034189+272113,118.26,-35.36,11.8,0.87,-12.6,6.3,13,2.3,2.4,2011-Nov-16,Goldcam,D,field
0034442+460719,119.91,-16.65,10.9,0.99,-141.8,5.1,23,0.9,1.0,2012-Oct-28,Modspec,G,TriAnd1
0036583+321110,119.38,-30.59,12.2,0.91,8.9,5.1,18,2.6,3.1,2011-Nov-15,Goldcam,D,field
0037165+334215,119.56,-29.08,12.4,0.9,-23.4,3.0,19,2.3,2.9,2012-Oct-28,Modspec,D,field
0037192+384457,119.92,-24.04,12.3,0.93,-11.8,1.9,14,3.9,4.6,2011-Nov-15,Goldcam,D,field
0038264+393424,120.21,-23.23,12.0,0.92,-19.8,9.8,22,4.7,5.0,2011-Nov-19,Goldcam,D,field
0038406+252313,119.3,-37.39,11.9,0.86,-5.6,3.8,22,3.3,3.9,2011-Nov-17,Goldcam,D,field
0039206+274800,119.67,-34.99,10.3,1.05,-291.4,2.1,34,0.8,1.1,2012-Oct-27,Modspec,G,field
0040357+384313,120.62,-24.1,10.8,1.0,-153.0,2.2,31,0.9,1.0,2012-Oct-27,Modspec,G,TriAnd1
0040442+363805,120.54,-26.19,12.2,0.91,-45.3,10.0,2,8.3,9.8,2011-Nov-20,Goldcam,D,field
0042427+341227,120.87,-28.62,12.0,0.86,-11.9,3.2,21,3.4,3.7,2011-Nov-17,Goldcam,D,field
0043444+340830,121.12,-28.7,12.2,0.93,-21.2,4.9,24,2.8,3.4,2012-Oct-28,Modspec,D,field
0044567+273735,121.17,-35.22,12.0,0.9,-8.0,3.2,32,3.6,4.0,2012-Oct-28,Modspec,D,field
0047532+401734,122.2,-22.57,10.0,1.11,-132.0,1.9,28,1.1,1.2,2012-Oct-27,Modspec,G,TriAnd1
0048394+422949,122.39,-20.37,10.6,1.01,-146.7,3.0,36,1.0,1.0,2012-Oct-29,Modspec,G,TriAnd1
0050296+313838,122.7,-31.23,12.0,0.92,-34.3,1.8,26,3.4,3.6,2012-Oct-28,Modspec,D,field
0050308+362458,122.72,-26.46,12.3,0.91,-74.0,4.3,26,3.2,3.6,2012-Oct-28,Modspec,D,field
0051043+335407,122.84,-28.97,12.0,0.86,-2.7,3.2,23,1.7,1.9,2011-Nov-17,Goldcam,G,field
0051100+463939,122.88,-16.21,11.0,1.04,-178.5,3.7,34,0.6,0.8,2013-Oct-19,Modspec,G,TriAnd2
0051470+280311,123.02,-34.81,11.8,0.87,-11.6,6.4,16,3.7,4.6,2011-Nov-16,Goldcam,D,field
0052055+393406,123.07,-23.3,12.4,0.91,-69.3,3.8,16,1.7,1.6,2011-Nov-18,Goldcam,G,field
0052304+393303,123.15,-23.32,10.7,1.02,-136.9,5.6,21,0.9,1.1,2011-Nov-18,Goldcam,G,TriAnd1
0053235+395559,123.34,-22.94,11.0,0.96,-134.1,2.6,26,1.2,1.4,2012-Oct-29,Modspec,G,TriAnd1
0054529+284300,123.84,-34.15,12.3,0.91,-34.6,6.1,15,3.3,3.8,2011-Nov-18,Goldcam,D,field
0054535+270317,123.88,-35.81,12.3,0.91,-15.3,5.5,15,3.0,3.8,2011-Nov-18,Goldcam,D,field
0055151+215224,124.1,-40.99,11.5,0.92,10.4,7.3,29,3.3,3.6,2011-Nov-18,Goldcam,D,field
0055369+205253,124.24,-41.97,11.8,0.88,-8.6,2.8,23,3.4,3.8,2011-Nov-17,Goldcam,D,field
